categoria,nombre,marca,socket,tipo_ram,capacidad_gb,velocidad_ram_mhz,modulos,chipset,form_factor,m2_slots,wifi,bluetooth,interfaz,vram_gb,potencia_w,certificacion,compatibilidad,tamaño_mm,cantidad,precio_estimado_ars
Almacenamiento,Kingston A400 480GB,Kingston,,,480,,,,,,,,SSD SATA / SATA III,,,,,,,65000
Almacenamiento,Crucial BX500 480GB,Crucial,,,480,,,,,,,,SSD SATA / SATA III,,,,,,,70000
Almacenamiento,Seagate Barracuda 1TB,Seagate,,,1000,,,,,,,,HDD / SATA III,,,,,,,75000
Almacenamiento,WD Blue 1TB,WD,,,1000,,,,,,,,HDD / SATA III,,,,,,,78000
Almacenamiento,Kingston NV2 500GB,Kingston,,,500,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,82000
Almacenamiento,WD Blue SN580 500GB,WD,,,500,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,92000
Almacenamiento,Seagate Barracuda 2TB,Seagate,,,2000,,,,,,,,HDD / SATA III,,,,,,,105000
Almacenamiento,Kingston A400 960GB,Kingston,,,960,,,,,,,,SSD SATA / SATA III,,,,,,,115000
Almacenamiento,WD Blue 2TB,WD,,,2000,,,,,,,,HDD / SATA III,,,,,,,115000
Almacenamiento,Kingston NV2 1TB,Kingston,,,1000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,125000
Almacenamiento,Crucial P3 Plus 1TB,Crucial,,,1000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,135000
Almacenamiento,Crucial MX500 1TB,Crucial,,,1000,,,,,,,,SSD SATA / SATA III,,,,,,,140000
Almacenamiento,WD Blue SN580 1TB,WD,,,1000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,145000
Almacenamiento,Lexar NM790 1TB,Lexar,,,1000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,160000
Almacenamiento,WD Blue SN580 2TB,WD,,,2000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,255000
Almacenamiento,Lexar NM790 2TB,Lexar,,,2000,,,,,,,,SSD NVMe / PCIe 4.0 x4,,,,,,,275000
Fuente,MSI MAG A550BN 550W,MSI,,,,,,,,,,,,,550,80+ Bronze,,,,78000
Fuente,Corsair CX550 550W,Corsair,,,,,,,,,,,,,550,80+ Bronze,,,,88000
Fuente,MSI MAG A650BN 650W,MSI,,,,,,,,,,,,,650,80+ Bronze,,,,95000
Fuente,XPG Pylon 650W,XPG,,,,,,,,,,,,,650,80+ Bronze,,,,105000
Fuente,Corsair CX650 650W,Corsair,,,,,,,,,,,,,650,80+ Bronze,,,,112000
Fuente,MSI MAG A750GL 750W,MSI,,,,,,,,,,,,,750,80+ Gold,,,,155000
Fuente,XPG Core Reactor 750W,XPG,,,,,,,,,,,,,750,80+ Gold,,,,170000
Fuente,Corsair RM750e 750W,Corsair,,,,,,,,,,,,,750,80+ Gold,,,,185000
Fuente,MSI MAG A850GL 850W,MSI,,,,,,,,,,,,,850,80+ Gold,,,,195000
Fuente,Corsair RM850e 850W,Corsair,,,,,,,,,,,,,850,80+ Gold,,,,225000
Gabinete,Cooler Master MasterBox Q300L,Cooler Master,,,,,,,Micro-ATX,,,,,,,,,,,115000
Gabinete,Thermaltake Versa H18,Thermaltake,,,,,,,Micro-ATX,,,,,,,,,,,118000
Gabinete,DeepCool Matrexx 40,DeepCool,,,,,,,Micro-ATX,,,,,,,,,,,120000
Gabinete,DeepCool CC560,DeepCool,,,,,,,ATX,,,,,,,,,,,142000
Gabinete,Montech Air 100,Montech,,,,,,,Micro-ATX,,,,,,,,,,,148000
Gabinete,Montech Air 903,Montech,,,,,,,ATX,,,,,,,,,,,180000
Gabinete,Corsair 3000D Airflow,Corsair,,,,,,,ATX,,,,,,,,,,,195000
Gabinete,Corsair 4000D Airflow,Corsair,,,,,,,ATX,,,,,,,,,,,225000
CPU Cooler,Cooler de stock (incluido con el CPU),Genérico,,,,,,,,,,,,,,,AM4/AM5/LGA1700,,,0
CPU Cooler,Cooler stock AMD,AMD,,,,,,,,,,,,,,,AM4/AM5,,,25000
CPU Cooler,DeepCool AG300,DeepCool,,,,,,,,,,,,,,,AM4/AM5/LGA1700,,,38000
CPU Cooler,ID-Cooling SE-214-XT,ID-Cooling,,,,,,,,,,,,,,,AM4/AM5/LGA1700,,,44000
CPU Cooler,DeepCool AG400,DeepCool,,,,,,,,,,,,,,,AM4/AM5/LGA1700,,,54000
CPU Cooler,Thermalright Peerless Assassin 120,Thermalright,,,,,,,,,,,,,,,AM4/AM5/LGA1700,,,115000
Ventilador extra,DeepCool FK120 120mm x1,DeepCool,,,,,,,,,,,,,,,,120,1,22000
Ventilador extra,Arctic P12 120mm x1,Arctic,,,,,,,,,,,,,,,,120,1,28000
Ventilador extra,DeepCool FK120 120mm x3,DeepCool,,,,,,,,,,,,,,,,120,3,60000
Ventilador extra,Arctic P12 120mm x3,Arctic,,,,,,,,,,,,,,,,120,3,75000
Wi-Fi/Bluetooth,Adaptador USB Bluetooth 5.3,Genérico,,,,,,,,,No,Sí,USB 2.0/3.0,,,,,,,18000
Wi-Fi/Bluetooth,TP-Link Archer T2U,TP-Link,,,,,,,,,Wi-Fi 5,No,USB 2.0/3.0,,,,,,,34000
Wi-Fi/Bluetooth,TP-Link Archer T3U,TP-Link,,,,,,,,,Wi-Fi 5,No,USB 3.0,,,,,,,46000
Wi-Fi/Bluetooth,TP-Link Archer TX20U Plus,TP-Link,,,,,,,,,Wi-Fi 6,No,USB 3.0,,,,,,,72000
Sistema operativo,Ubuntu,Linux,,,,,,,,,,,,,,,,,,0
Sistema operativo,Windows 10 Home,Microsoft,,,,,,,,,,,,,,,,,,150000
Sistema operativo,Windows 10 Pro,Microsoft,,,,,,,,,,,,,,,,,,210000
Sistema operativo,Windows 11 Home,Microsoft,,,,,,,,,,,,,,,64-bit / Licencia,,,180000
Sistema operativo,Windows 11 Pro,Microsoft,,,,,,,,,,,,,,,64-bit / Licencia,,,260000
